exp,cohort,sbj,treatment,date,time,body_mass_g,food_weight_g,blood_glucose_mgdl
dtx,tx03,dtx001,TeTx,1/7/2020,,30.7,,
dtx,tx03,dtx002,GFP,1/7/2020,,30.67,,
dtx,tx03,dtx006,GFP,1/7/2020,,28.93,,
dtx,tx03,dtx007,GFP,1/7/2020,,28.73,,
dtx,tx03,dtx008,GFP,1/7/2020,,25.56,,
dtx,tx03,dtx009,GFP,1/7/2020,,24.79,,
dtx,tx03,dtx010,TeTx,1/7/2020,,27.13,,
dtx,tx03,dtx011,TeTx,1/7/2020,,27.32,,
dtx,tx03,dtx012,TeTx,1/7/2020,,27.28,,
dtx,tx03,dtx013,GFP,1/7/2020,,29.56,,
dtx,tx03,dtx014,GFP,1/7/2020,,28.98,,
dtx,tx03,dtx015,TeTx,1/7/2020,,29.24,,
dtx,tx03,dtx016,TeTx,1/7/2020,,25.73,,
dtx,tx03,dtx017,TeTx,1/7/2020,,29.55,,
dtx,tx03,dtx018,TeTx,1/7/2020,,26.28,,
dtx,tx03,dtx019,TeTx,1/7/2020,,27.11,,
dtx,tx03,dtx001,TeTx,1/9/2020,,30.27,,
dtx,tx03,dtx002,GFP,1/9/2020,,29.25,,
dtx,tx03,dtx006,GFP,1/9/2020,,31.37,,
dtx,tx03,dtx007,GFP,1/9/2020,,28.44,,
dtx,tx03,dtx008,GFP,1/9/2020,,24.54,,
dtx,tx03,dtx009,GFP,1/9/2020,,24.07,,
dtx,tx03,dtx010,TeTx,1/9/2020,,25.66,,
dtx,tx03,dtx011,TeTx,1/9/2020,,26.89,,
dtx,tx03,dtx012,TeTx,1/9/2020,,26.48,,
dtx,tx03,dtx013,GFP,1/9/2020,,28.88,,
dtx,tx03,dtx014,GFP,1/9/2020,,28.3,,
dtx,tx03,dtx015,TeTx,1/9/2020,,28.36,,
dtx,tx03,dtx016,TeTx,1/9/2020,,26.02,,
dtx,tx03,dtx017,TeTx,1/9/2020,,28.32,,
dtx,tx03,dtx018,TeTx,1/9/2020,,25.9,,
dtx,tx03,dtx019,TeTx,1/9/2020,,26.88,,
dtx,tx03,dtx001,TeTx,1/17/2020,,33.44,,
dtx,tx03,dtx002,GFP,1/17/2020,,28.71,,
dtx,tx03,dtx006,GFP,1/17/2020,,28.12,,
dtx,tx03,dtx007,GFP,1/17/2020,,30.06,,
dtx,tx03,dtx008,GFP,1/17/2020,,26.3,,
dtx,tx03,dtx009,GFP,1/17/2020,,25.19,,
dtx,tx03,dtx010,TeTx,1/17/2020,,28.33,,
dtx,tx03,dtx011,TeTx,1/17/2020,,28.39,,
dtx,tx03,dtx012,TeTx,1/17/2020,,30.67,,
dtx,tx03,dtx013,GFP,1/17/2020,,29.34,,
dtx,tx03,dtx014,GFP,1/17/2020,,28.56,,
dtx,tx03,dtx015,TeTx,1/17/2020,,31.62,,
dtx,tx03,dtx016,TeTx,1/17/2020,,29.51,,
dtx,tx03,dtx017,TeTx,1/17/2020,,31.49,,
dtx,tx03,dtx018,TeTx,1/17/2020,,29.54,,
dtx,tx03,dtx019,TeTx,1/17/2020,,31.3,,
dtx,tx03,dtx001,TeTx,1/24/2020,,34.17,,
dtx,tx03,dtx002,GFP,1/24/2020,,30.64,,
dtx,tx03,dtx006,GFP,1/24/2020,,28.43,,
dtx,tx03,dtx007,GFP,1/24/2020,,29.74,,
dtx,tx03,dtx008,GFP,1/24/2020,,25.67,,
dtx,tx03,dtx009,GFP,1/24/2020,,25.04,,
dtx,tx03,dtx010,TeTx,1/24/2020,,27.95,,
dtx,tx03,dtx011,TeTx,1/24/2020,,29.88,,
dtx,tx03,dtx012,TeTx,1/24/2020,,32.65,,
dtx,tx03,dtx013,GFP,1/24/2020,,30.16,,
dtx,tx03,dtx014,GFP,1/24/2020,,28.94,,
dtx,tx03,dtx015,TeTx,1/24/2020,,32.52,,
dtx,tx03,dtx016,TeTx,1/24/2020,,30.89,,
dtx,tx03,dtx017,TeTx,1/24/2020,,32.68,,
dtx,tx03,dtx018,TeTx,1/24/2020,,30.88,,
dtx,tx03,dtx019,TeTx,1/24/2020,,33.97,,
dtx,tx03,dtx001,TeTx,1/28/2020,,36.3,,
dtx,tx03,dtx002,GFP,1/28/2020,,30.48,,
dtx,tx03,dtx006,GFP,1/28/2020,,28.76,,
dtx,tx03,dtx007,GFP,1/28/2020,,29.33,,
dtx,tx03,dtx008,GFP,1/28/2020,,25.94,,
dtx,tx03,dtx009,GFP,1/28/2020,,25.06,,
dtx,tx03,dtx010,TeTx,1/28/2020,,28.2,,
dtx,tx03,dtx011,TeTx,1/28/2020,,30.09,,
dtx,tx03,dtx012,TeTx,1/28/2020,,32.82,,
